id,name,description,volunteer_functions,phone,address,latitude,longitude,logo,website,vk_link,telegram_link,other_social,created_at,updated_at,is_approved,is_active,city_id,owner_id,has_pending_changes
1,"ОО ТОС АГО ""12а микрорайон""","Повышение качества жизни жителей 12а микрорайона г.Ангарска Иркутской области ( Благоустройство и содержании территории, организация культурных, спортивных и социально значимых мероприятий, взаимодействие с органами власти для учёта мнения жителей, экологии и социальной помощи). 
Целевая аудитория:
Жители микрорайона 12А (социально незащищенные группы: пенсионеры, инвалиды, многодетные семьи, малоимущие 
и д.р. дети и молодежь, собственники жилья.)","Повышение качества жизни жителей 12а микрорайона г.Ангарска Иркутской области ( Благоустройство и содержании территории, организация культурных, спортивных и социально значимых мероприятий, взаимодействие с органами власти для учёта мнения жителей, экологии и социальной помощи).",+7 (950) 114-81-49,,NULL,NULL,,,https://vk.com/id746471055,,,2025-11-15 07:54:19.667357,2025-11-15 07:54:19.667367,1,1,1,2,0
2,Платформа добрых дел,"Благотворительный общественно полезный фонд помощи социально незащищенным слоям населения «Платформа добрых дел»
Основной вид деятельности (ОКВЭД) 64.99
Целевая аудитория: молодые люди с инвалидностью старше 18 лет, граждане старшего возраста (пенсионного)","Благотворительный общественно полезный фонд помощи социально незащищенным слоям населения «Платформа добрых дел»
Основной вид деятельности (ОКВЭД) 64.99",,,NULL,NULL,,,,,,2025-11-15 07:56:43.918662,2025-11-15 09:19:07.147214,1,1,2,25,0
3,"МБУ ""Молодежный центр""","-Консультирование и регистрация на площадке «Добро.РФ»
-Проведение ""Школы волонтеров""
-Формирование и сопровождение волонтерских корпусов (например, на общегородских мероприятиях, федеральных проектах (Формирование комфортной городской среды)
-Информирование граждан и организаторов о развитии добровольчества, благотворительности и гражданских инициатив (индивидуально)

Целевая аудитория: молодежь в возрасте от 14 до 35 лет","-Консультирование и регистрация на площадке «Добро.РФ»
-Проведение ""Школы волонтеров""
-Формирование и сопровождение волонтерских корпусов (например, на общегородских мероприятиях, федеральных проектах (Формирование комфортной городской среды)
-Информирование граждан и организаторов о развитии добровольчества, благотворительности и гражданских инициатив (индивидуально)

Целевая аудитория: молодежь в возрасте от 14 до 35 лет",,,58142622.0,52.633619,,,https://vk.com/mcglazov,,,2025-11-15 08:05:41.463631,2025-11-16 06:06:59.989091,1,1,3,3,0
4,"Культурная база ""Короленко 8"" (МБУ ""ЦМиТО УКСиМП"")","Ресурсный центр помощи НКО и сообществам, учреждениям культуры, образования

Целевая аудитория:
Инициативные жители, сообщества, НКО, учреждения города","Ресурсный центр помощи НКО и сообществам, учреждениям культуры, образования

Целевая аудитория:
Инициативные жители, сообщества, НКО, учреждения города",+7 (34141) 6-63-55,"улица Короленко, 8, Глазов, Удмуртская Республика, 427621",58.138365,52.665585,,,https://m.vk.com/korolenko8?from=groups,,,2025-11-15 08:10:15.106423,2025-11-16 06:18:37.927388,1,1,3,4,0
5,"КРОМО ""Экологический союз""","Организация и проведение различных экскурсий, конкурсов, выставок, акций, конференций, фестивалей, семинаров, олимпиад, походов, круглых столов, курсов, связанных с миром природы. Разработка и реализация просветительных программ эколого -биологической, естественно-научной, природоохранной, туристско - краеведческой направленности для детей и взрослых вместе с детьми. Оказание практической помощи другим организациям и привлечение молодежи к участию в экологической работе на территории ЗАТО Железногорск.

Целевая аудитория:
Активная молодежь, заинтересованная в решении экологических проблем и природоохранной деятельности, экоактивисты.","Организация и проведение различных экскурсий, конкурсов, выставок, акций, конференций, фестивалей, семинаров, олимпиад, походов, круглых столов, курсов, связанных с миром природы. Разработка и реализация просветительных программ эколого -биологической, естественно-научной, природоохранной, туристско - краеведческой направленности для детей и взрослых вместе с детьми. Оказание практической помощи другим организациям и привлечение молодежи к участию в экологической работе на территории ЗАТО Железногорск.",+7 (960) 756-02-30,"Экосоюз Курчатова, 15, ул Саянская д. 9",51.669062,35.656041,,http://экосоюз24.рф,http://Vk.com/ecosoyuz24,,,2025-11-15 08:14:13.933697,2025-11-16 06:20:00.453622,1,1,4,5,0
6,"НКО ""Резервный фонд поддержки гражданских инициатив города Зеленогорска""","Три года назад Фонд планировали закрывать. Потом он стал площадкой по сбору средств в поддержку волонтеров СВО, 
т.к. других фондов в городе нет.

На сегодня принято решение оставить Фонд после окончания СВО. Он будет заниматься сбором пожертвований 
и помощью людям в тяжелых ситуациях (пожары, болезни и т.п.).

Целевая аудитория:
люди в сложной жизненной ситуации","Три года назад Фонд планировали закрывать. Потом он стал площадкой по сбору средств в поддержку волонтеров СВО, 
т.к. других фондов в городе нет.

На сегодня принято решение оставить Фонд после окончания СВО. Он будет заниматься сбором пожертвований 
и помощью людям в тяжелых ситуациях (пожары, болезни и т.п.).",+7 (8172) 75-61-37,"Советский просп., 35А, Вологда",59.213689,39.902913,,http://фонд-сияние.рф/,https://vk.com/club206489451?from=groups,,,2025-11-15 08:20:54.863597,2025-11-16 06:20:27.011161,1,1,5,7,0
7,"АНО ""Клуб компьютерного спорта и фиджитал-спорта ""Кибер-атом""",Автономная некоммерческая организация «Клуб компьютерного спорта и фиджитал-спорта «Кибер-атом» в ЗАТО г. Зеленогорск Красноярского края,Автономная некоммерческая организация «Клуб компьютерного спорта и фиджитал-спорта «Кибер-атом» в ЗАТО г. Зеленогорск Красноярского края,+7 (913) 594-36-25,,NULL,NULL,,,https://vk.com/cyberatom_zlk24,,https://discord.gg/sK7bDWGXbp,2025-11-15 08:24:12.568757,2025-11-15 09:19:15.703929,1,1,5,8,0
8,"АНО РАЗВИВАЮЩИЙ ЦЕНТР ""СОЛНЕЧНЫЙ ГОРОД""","Оказание психолого-педагогической помощи семьям с детьми, в том числе с инвалидностью и ОВЗ

Целевая аудитория:
Семьи с детьми от рождения до 18 лет","Оказание психолого-педагогической помощи семьям с детьми, в том числе с инвалидностью и ОВЗ

Целевая аудитория:
Семьи с детьми от рождения до 18 лет",89135521828,"Мира 16б, Зеленогорск",56.109806,94.86139,,http://89138365538.tilda.ws/,https://vk.com/sunny_gorod,,http://Lipatova_3005@mail.ru,2025-11-15 08:28:28.202118,2025-11-16 06:22:23.293614,1,1,5,9,0
9,АНО КРЦРМСИГ ЕЛЕНЫ ЖИВАЕВОЙ,"Наша цель — создавать пространство, где каждый найдет поддержку, вдохновение и возможности для роста. Мы объединяем людей, помогаем воплощать их устремления в жизнь и делаем мир вокруг лучше — шаг за шагом, от локальных инициатив до масштабных изменений.

Наши принципы:
🌱 Люди важнее всего – мы ценим индивидуальность и верим в силу сообществ.
🚀 Мечты становятся реальностью – вместе мы находим ресурсы, знания и единомышленников.
💡 Действия меняют жизнь – поддерживаем гражданские инициативы и добровольчество.
🌍 Сила – в локальном – развиваем местные проекты, которые создают глобальный эффект.

Мы не просто говорим — мы создаем связи, даем инструменты и вдохновляем на перемены. Присоединяйтесь! 💛","Наша цель — создавать пространство, где каждый найдет поддержку, вдохновение и возможности для роста. Мы объединяем людей, помогаем воплощать их устремления в жизнь и делаем мир вокруг лучше — шаг за шагом, от локальных инициатив до масштабных изменений.

Наши принципы:
🌱 Люди важнее всего – мы ценим индивидуальность и верим в силу сообществ.
🚀 Мечты становятся реальностью – вместе мы находим ресурсы, знания и единомышленников.
💡 Действия меняют жизнь – поддерживаем гражданские инициативы и добровольчество.
🌍 Сила – в локальном – развиваем местные проекты, которые создают глобальный эффект.

Мы не просто говорим — мы создаем связи, даем инструменты и вдохновляем на перемены. Присоединяйтесь! 💛",+7 (902) 918-17-97,"Мира,68А, Зеленогорск",56.109014,94.617411,,,https://vk.com/elenazivaeva,,http://89029181797@yandex.ru,2025-11-15 08:30:59.129998,2025-11-16 06:22:41.005585,1,1,5,10,0
10,"АНО СС ""Линия жизни""","Предоставление социальных услуг на дому

Целевая аудитория:
Пенсионеры, инвалиды, семьи с детьми инвалидами, люди оказавшись в трудной жизненной ситуации","Предоставление социальных услуг на дому

Целевая аудитория:
Пенсионеры, инвалиды, семьи с детьми инвалидами, люди оказавшись в трудной жизненной ситуации",8-913-552-30-28,"Мира, д.16Б, офис 2-2",56.111057,94.591656,,http://liniyazhiznizel.ru,https://m.vk.com/liniya_zhizni_zel,,https://ok.ru/group/61396158775366,2025-11-15 08:37:31.301603,2025-11-16 06:06:59.987217,1,1,5,11,0
